Unnamed: 0,agent,group,AS_fit,DB_fit,VS_fit,SG_fit,r2_AS,r2_DB,r2_VS,r2_SG,r2_ASG,fit_AS,fit_DB,fit_VS,fit_SG,fit_ASG,id,model,lambda,beta,tau,par,initial_eps_soc,eta_eps_soc
8880,2,8,375.25189782912025,383.7442732050659,374.4039659776712,367.2614336241736,0.30137412349033493,0.2855634287943393,0.30295276209647143,0.31625038418666873,0.2918877014264899,375.25189782912025,383.74427320506595,374.40396597767125,367.2614336241735,380.347325872597,21,SG,2.3207420425799823,0.007365903388610422,0.09975673869064901,2.4462031294515616,,
13680,1,8,735.0863209216961,513.4266751071822,424.9393577145374,439.4137166078421,0.25110049906123766,0.25368159065030954,0.24626073366518575,0.25092878685376385,0.25093112997444256,398.45370712961403,397.035725702478,401.0250163860847,398.5733661415669,398.5720977386757,22,DB,1.087754995501749,0.20845690558049207,0.07541061427439155,0.24450159576273706,,
20880,4,8,397.8323641833288,393.5033290978074,399.6939863660723,397.78448744992704,0.2593349007976102,0.26739448943276417,0.25586902244583365,0.2594240353896822,0.25942735152843566,397.8323641833288,393.50332909780735,399.69398636607235,397.78448744992704,397.7827062571563,23,DB,0.8453757019148214,0.4590716761834679,0.04948542067598294,0.21428570000000002,,
5760,3,16,415.7735930053604,414.8886872407994,422.57287485746986,409.1086194715094,0.3293115076663329,0.32553678424309396,0.31890400416515585,0.3099341042892034,0.3095862266158229,360.24593142432525,362.2734431097314,365.8360985964768,370.6540878307215,370.840942857908,24,AS,0.5333202757931012,0.4919631702272599,0.030576173295861354,,,
18240,1,16,360.24593142432525,362.2734431097314,365.8360985964768,370.6540878307215,0.2747532257303035,0.26411794220433815,0.24791560788685701,0.26725975675553526,0.2742058155146005,389.55074180592015,395.2632561304795,403.9659923249533,393.5756978641667,389.8447714564677,25,AS,1.2347987718559947,0.19373639299112688,0.0653478385572325,,,
19200,2,16,389.5507418059201,395.2632561304795,403.96599232495333,393.5756978641668,0.2259327866871574,0.2275802615406392,0.21327421181772574,0.23834131281037696,0.22566116888134247,415.7735930053604,414.8886872407995,422.57287485746986,409.10861947150937,415.91948668113633,26,SG,1.07012092681984,0.27885974582652545,0.06670897357073259,16.59748557724256,,
19680,4,16,370.2036174577295,370.69524841432127,390.46994800136247,371.9964829169282,0.3107727682932866,0.3098574735007613,0.27304189198969053,0.3074348978917169,0.30462692037200495,370.2036174577295,370.69524841432127,390.46994800136247,371.99648291692824,373.50472778555195,27,AS,1.0200563814186387,0.37132575049531935,0.05907974344012118,,,
6720,2,19,370.2860504373114,364.1949524643719,369.9739403836557,364.2661398352715,0.4026562714959797,0.39746638208065255,0.38361671164242633,0.40031243822259377,0.4009896290756759,314.5175161765155,317.19931378323656,324.55064772984196,315.81562632269413,315.4519653261503,28,AS,1.3200205738948105,0.1807066429262773,0.07429628640916033,,,
10800,3,19,391.2495739307727,395.31742076670594,412.6831759931974,386.8066298521777,0.30515343748822943,0.31644831282863534,0.3054867350370989,0.31589769696190584,0.31347893305115526,370.2860504373115,364.1949524643719,369.97394038365564,364.2661398352715,365.56463057507403,29,DB,0.5596268021231007,0.5358176836183671,0.033331194204943355,0.21428570000000002,,
21120,4,19,350.2920982218156,352.6706895627035,354.9854650667841,352.3729328178348,0.2715904220532696,0.26401710109819454,0.23168637595983807,0.27986208095532605,0.2798461356939996,391.24957393077267,395.317420766706,412.68317599319744,386.8066298521777,386.8151945071316,30,SG,0.9470039372045553,0.2053158780926921,0.06386396894935949,6.718489986097712,,
