Unnamed: 0,agent,group,AS_fit,DB_fit,VS_fit,SG_fit,r2_AS,r2_DB,r2_VS,r2_SG,r2_ASG,fit_AS,fit_DB,fit_VS,fit_SG,fit_ASG,id,model,lambda,beta,tau,par,initial_eps_soc,eta_eps_soc
23040,2,2,383.5900306936543,390.7389515747667,378.9890475425598,384.9975341054321,0.2967333576371359,0.28893973974649895,0.27899543517683734,0.29660722011701823,0.29661097393007096,377.7445856214674,381.9307602290094,387.2721300348338,377.8123376836271,377.8103214034985,10,AS,0.6120356659152141,0.4874345664825035,0.03043830762085519,,,
29280,3,2,377.7445856214674,381.9307602290094,387.27213003483376,377.8123376836271,0.328278618413817,0.32653972003381126,0.2620077873898763,0.30899623387104713,0.2856543989904577,360.8007257216541,361.73473767163955,396.39668050748094,371.157844800173,383.69541051634064,11,AS,0.8212883493098508,0.39955682228629574,0.04901104486984925,,,
10560,2,4,397.0120860984291,402.3815409638737,406.2540088604275,397.33322801480136,0.2831180893281361,0.26221889830694645,0.21431571733428126,0.241373581991302,0.23134800409020134,385.0577348250587,396.28328680858334,422.01345251880764,407.4799011501159,412.86492518188703,12,AS,1.3200628667831018,0.20660580283785096,0.07355469890433977,,,
12960,1,4,385.0577348250586,396.2832868085833,422.0134525188077,407.4799011501159,0.26086205495555037,0.2508654629770643,0.24365588910378994,0.2602641684315716,0.25293149148045857,397.0120860984292,402.3815409638737,406.2540088604275,397.33322801480136,401.27181808796036,13,AS,0.8132041787721732,0.4417402046001292,0.0419067365785986,,,
18480,3,4,323.0067151534201,325.2849389229187,324.18641854828877,325.40326797768586,0.39864168363160213,0.3944001965477022,0.3964453687747566,0.39417989722321783,0.3942384682948859,323.0067151534201,325.28493892291874,324.18641854828877,325.4032679776858,325.3718077834097,14,AS,1.2612273547417154,0.1883773279321909,0.05732505214429218,,,
22080,4,4,396.0485277490049,400.3736189507953,410.9867312300382,396.64304975540387,0.26265596139634145,0.2546037152936157,0.23484473496206765,0.26154910901204276,0.26154925796395123,396.0485277490049,400.3736189507953,410.98673123003823,396.6430497554039,396.6429697490826,15,AS,0.8372533588728766,0.45614176549851976,0.05019721664170027,,,
480,4,6,387.50177920262377,389.9979536082343,386.6589786364878,388.0802308837271,0.17862451956878844,0.17179754175403156,0.1779744368278613,0.1634572786491767,0.17724330681951972,436.8880018362437,440.4110015639908,437.07608751051373,444.49167601341225,437.42761231186597,16,AS,0.9283893744431546,0.4384781410002265,0.04904176146094984,,,
5040,1,6,436.88800183624375,440.4110015639908,437.0760875105138,444.4916760134122,0.2853845398263126,0.2773028275059887,0.2621565408543517,0.2799791425161856,0.2847161747100322,383.84035957548224,388.1812779237429,396.31678077612264,386.74375274677357,384.1993575553166,17,AS,0.5163424475944606,0.5633452110091515,0.027387766686545887,,,
5520,3,6,383.1350574611062,388.2940725649778,387.73269255988185,387.30001793997224,0.286697637270218,0.277092831885569,0.27813798209102847,0.27894351482071367,0.27893985231605734,383.13505746110616,388.2940725649778,387.73269255988185,387.30001793997224,387.3019851757551,18,AS,0.8950543865975857,0.37493810007635164,0.04987896549562637,,,
11280,2,6,383.84035957548224,388.1812779237429,396.3167807761226,386.7437527467736,0.2785678854374085,0.27392062837587394,0.2801369708641469,0.2774909520093109,0.2774884729270926,387.50177920262377,389.9979536082343,386.65897863648786,388.08023088372704,388.0815624695423,19,VS,1.1993567639443545,0.2892431868673978,0.06991938938227761,0.116,,
