agent,group,model,AS_fit,DB_fit,SG_fit,Unnamed: 0,VS_fit,fit_AS,fit_ASG,fit_DB,fit_SG,fit_VS,id,r2,lambda,beta,tau,par,initial_eps_soc,eta_eps_soc
2,26,VS,893.5000053437861,400.49506602495046,409.36882716653577,7680,421.90624328184913,458.8717817750221,461.70179704592135,459.1253110701714,449.16978986362926,449.7708473629066,40,0.16263833897918464,4.0224842660849935,0.006737946999085468,0.15610350448004764,0.116,,
2,26,SG,893.5000053437861,400.49506602495046,409.36882716653577,7680,421.90624328184913,458.8717817750221,461.70179704592135,459.1253110701714,449.16978986362926,449.7708473629066,40,0.16375735882876993,2.6368846461589026,0.10717128249818247,0.10266587768417065,15.116657925825391,,
2,26,ASG,893.5000053437861,400.49506602495046,409.36882716653577,7680,421.90624328184913,458.8717817750221,461.70179704592135,459.1253110701714,449.16978986362926,449.7708473629066,40,0.14042587255833644,1.113043005818117,0.2709596237350269,0.06314460924171122,,16.04031890323366,0.06472055754420802
3,26,AS,275.66529396767993,282.0849909084263,279.0673452507805,8160,271.2417832519896,893.5000053437863,411.18072538252363,400.49506602495046,409.36882716653577,421.90624328184913,41,-0.6634751962772144,1.358142270762581,0.018799776537463554,0.06498335050701001,,,
3,26,DB,275.66529396767993,282.0849909084263,279.0673452507805,8160,271.2417832519896,893.5000053437863,411.18072538252363,400.49506602495046,409.36882716653577,421.90624328184913,41,0.2543776109910869,1.4060794151687883,0.01713440150309626,0.06769985159539962,0.21428570000000002,,
3,26,VS,275.66529396767993,282.0849909084263,279.0673452507805,8160,271.2417832519896,893.5000053437863,411.18072538252363,400.49506602495046,409.36882716653577,421.90624328184913,41,0.21451531431852938,1.3452834520393122,0.011814919240273862,0.06592358463915277,0.11637696361299645,,
3,26,SG,275.66529396767993,282.0849909084263,279.0673452507805,8160,271.2417832519896,893.5000053437863,411.18072538252363,400.49506602495046,409.36882716653577,421.90624328184913,41,0.23785687067946695,1.3008098614227985,0.025855068025132877,0.06392177578206877,18.1878724162603,,
3,26,ASG,275.66529396767993,282.0849909084263,279.0673452507805,8160,271.2417832519896,893.5000053437863,411.18072538252363,400.49506602495046,409.36882716653577,421.90624328184913,41,0.23448356600968676,1.3066503436215102,0.02422904484383622,0.06415257093294907,,18.655331341720863,0.032999027380643864
4,26,AS,435.8016040313932,434.19617383732344,443.8395556077941,9360,419.8403300121928,275.66529396768,277.8533800069114,282.08499090842633,279.0673452507805,271.24178325198966,42,0.48347761560162217,1.1392501783018423,0.31798564827542947,0.05842990104003376,,,
4,26,DB,435.8016040313932,434.19617383732344,443.8395556077941,9360,419.8403300121928,275.66529396768,277.8533800069114,282.08499090842633,279.0673452507805,271.24178325198966,42,0.471344903348189,1.1202521463367583,0.324064830071136,0.057907828820167276,0.21428570000000002,,
