round,trial,current_eps_soc,reward,cumulative_reward,is_random,agent,group,initial_eps_soc,eta_eps_soc
11,5,17.787521621497234,0.43300000000000005,2.5781,0,1,16,17.918701561722735,0.0738833794567708
11,6,17.755530118192453,0.4554,3.0335,0,1,16,17.918701561722735,0.0738833794567708
11,7,17.72188362718784,0.30600000000000005,3.3395,0,1,16,17.918701561722735,0.0738833794567708
11,8,17.699275313074068,0.5,3.8395,0,1,16,17.918701561722735,0.0738833794567708
11,9,17.66233362334568,0.5,4.3395,0,1,16,17.918701561722735,0.0738833794567708
11,10,17.625391933617294,0.3982,4.7377,0,1,16,17.918701561722735,0.0738833794567708
11,11,17.59597157191761,0.5,5.2377,0,1,16,17.918701561722735,0.0738833794567708
11,12,17.559029882189222,0.5,5.7377,0,1,16,17.918701561722735,0.0738833794567708
11,13,17.522088192460835,0.5,6.2377,0,1,16,17.918701561722735,0.0738833794567708
11,14,17.485146502732448,0.37229999999999996,6.61,0,1,16,17.918701561722735,0.0738833794567708
13,0,17.918701561722735,0.04369999999999996,0.04369999999999996,1,1,16,17.918701561722735,0.0738833794567708
13,1,17.918701561722735,0.03820000000000001,0.08189999999999997,0,1,16,17.918701561722735,0.0738833794567708
13,2,17.915879216627484,-0.2405,-0.15860000000000002,0,1,16,17.918701561722735,0.0738833794567708
13,3,17.93364816938684,0.41979999999999995,0.26119999999999993,0,1,16,17.918701561722735,0.0738833794567708
13,4,17.902631926690887,0.41979999999999995,0.6809999999999998,0,1,16,17.918701561722735,0.0738833794567708
13,5,17.871615683994936,0.41979999999999995,1.1007999999999998,0,1,16,17.918701561722735,0.0738833794567708
13,6,17.840599441298984,0.41979999999999995,1.5205999999999997,0,1,16,17.918701561722735,0.0738833794567708
13,7,17.809583198603033,0.5,2.0206,0,1,16,17.918701561722735,0.0738833794567708
13,8,17.772641508874646,0.5,2.5206,0,1,16,17.918701561722735,0.0738833794567708
13,9,17.73569981914626,0.4033,2.9238999999999997,0,1,16,17.918701561722735,0.0738833794567708
13,10,17.705902652211343,0.5,3.4238999999999997,0,1,16,17.918701561722735,0.0738833794567708
13,11,17.668960962482956,0.36460000000000004,3.7885,0,1,16,17.918701561722735,0.0738833794567708
13,12,17.64202308233302,0.5,4.2885,0,1,16,17.918701561722735,0.0738833794567708
