round,trial,current_eps_soc,reward,cumulative_reward,is_random,agent,group,initial_eps_soc,eta_eps_soc
4,4,18.97702246622791,0.5,1.2150999999999998,0,1,58,18.999999999999996,0.02569906472663537
4,5,18.964172933864592,0.3637,1.5787999999999998,0,1,58,18.999999999999996,0.02569906472663537
4,6,18.954826184023513,0.23209999999999997,1.8108999999999997,0,1,58,18.999999999999996,0.02569906472663537
4,7,18.94886143110046,0.352,2.1628999999999996,0,1,58,18.999999999999996,0.02569906472663537
4,8,18.939815360316686,0.31489999999999996,2.4777999999999993,0,1,58,18.999999999999996,0.02569906472663537
4,9,18.93172272483427,0.16659999999999997,2.644399999999999,0,1,58,18.999999999999996,0.02569906472663537
4,10,18.927441260650813,0.1987,2.8430999999999993,0,1,58,18.999999999999996,0.02569906472663537
4,11,18.92233485648963,0.1764,3.0194999999999994,0,1,58,18.999999999999996,0.02569906472663537
4,12,18.917801541471853,0.09940000000000004,3.1188999999999996,0,1,58,18.999999999999996,0.02569906472663537
4,13,18.915247054438026,0.021599999999999953,3.1404999999999994,0,1,58,18.999999999999996,0.02569906472663537
4,14,18.91469195463993,0.0928,3.2332999999999994,0,1,58,18.999999999999996,0.02569906472663537
6,0,18.999999999999996,-0.2126,-0.2126,1,1,58,18.999999999999996,0.02569906472663537
6,1,18.999999999999996,-0.3137,-0.5263,0,1,58,18.999999999999996,0.02569906472663537
6,2,19.008061796604743,0.14039999999999997,-0.3859,0,1,58,18.999999999999996,0.02569906472663537
6,3,19.004453647917124,0.0686,-0.3173,0,1,58,18.999999999999996,0.02569906472663537
6,4,19.00269069207688,0.07699999999999996,-0.24030000000000007,0,1,58,18.999999999999996,0.02569906472663537
6,5,19.000711864092928,0.121,-0.11930000000000007,0,1,58,18.999999999999996,0.02569906472663537
6,6,18.997602277261006,0.13339999999999996,0.01409999999999989,0,1,58,18.999999999999996,0.02569906472663537
6,7,18.994174022026474,-0.4311,-0.4170000000000001,0,1,58,18.999999999999996,0.02569906472663537
6,8,19.005252888830128,-0.0746,-0.4916000000000001,0,1,58,18.999999999999996,0.02569906472663537
6,9,19.007170039058735,0.005900000000000016,-0.4857000000000001,0,1,58,18.999999999999996,0.02569906472663537
6,10,19.007018414576848,-0.009299999999999975,-0.49500000000000005,0,1,58,18.999999999999996,0.02569906472663537
6,11,19.007257415878804,0.005600000000000049,-0.4894,0,1,58,18.999999999999996,0.02569906472663537
6,12,19.007113501116336,0.03180000000000005,-0.45759999999999995,0,1,58,18.999999999999996,0.02569906472663537
6,13,19.00629627085803,0.028900000000000037,-0.4286999999999999,0,1,58,18.999999999999996,0.02569906472663537
6,14,19.00555356788743,0.0928,-0.3358999999999999,0,1,58,18.999999999999996,0.02569906472663537
8,0,18.999999999999996,0.20499999999999996,0.20499999999999996,1,1,58,18.999999999999996,0.02569906472663537
8,1,18.999999999999996,0.24970000000000003,0.4547,0,1,58,18.999999999999996,0.02569906472663537
8,2,18.993582943537756,0.0625,0.5172,0,1,58,18.999999999999996,0.02569906472663537
